Genes,ProtDesc,X5_vs_X5H,Diff_Abund,negLog10_sca_adjPval,sca.t,sca.P.Value,AveExpr,count,sca.adj.pval,P.Value,adj.P.Val,logFC
DYNC1LI1,Cytoplasmic dynein 1 light intermediate chain 2;Cytoplasmic dynein 1 light intermediate chain 1,0.47,Up in X5H,2.395,4.79859931710433,6.1545660281374e-4,17.91,16,0.00402410982295665,0.0013646483781539,0.00780156952032522,0.47
TP53RK,EKC/KEOPS complex subunit TP53RK,0.44,Up in X5H,2.395,4.79972849262234,6.1436996666914e-4,18.17,5,0.00402410982295665,5.8599848594827e-4,0.00456831757754402,0.44
ATXN10,Ataxin-10,0.24,Non-significant,2.392,4.79240583321613,6.2145302293922e-4,18.47,9,0.00405865070279402,0.00116248645388634,0.00709848539488698,0.24
RPAP1,RNA polymerase II-associated protein 1,0.72,Up in X5H,2.391,4.7906347740209,6.2317906869718e-4,15.38,5,0.00406268880178573,9.0824117513154e-4,0.00604519515990494,0.72
UTP20,Small subunit processome component 20 homolog,-0.21,Non-significant,2.391,-4.79036282451353,6.234445550146e-4,17.97,35,0.00406268880178573,0.00344400291483662,0.014363487289464,-0.21
RGN,Regucalcin,0.8,Up in X5H,2.391,4.78919927466889,6.2458180321729e-4,17.41,5,0.00406562214481491,9.5284495930062e-4,0.00619558640019977,0.8
CDC37,Hsp90 co-chaperone Cdc37,0.27,Non-significant,2.39,4.78734133023441,6.2640230030278e-4,21.01,10,0.00407299166032041,0.00135022802204087,0.0077566011712775,0.27
CASP3,Caspase-3,0.46,Up in X5H,2.39,4.7865264222391,6.2720255325175e-4,19.65,5,0.00407371844960552,6.3193023019637e-4,0.00477384101115584,0.46
NID1,Nidogen-1;Nidogen-1,1.3,Up in X5H,2.387,4.78083788193022,6.328189952512e-4,14.67,1,0.00410569078388306,6.3389196499087e-4,0.00477801115522418,1.3
FXN,"Frataxin, mitochondrial",-0.32,Non-significant,2.387,-4.77965107344459,6.3399745298432e-4,19.45,5,0.00410608865384728,2.8126809880272e-4,0.00304001483293,-0.32
VPS26B,Vacuolar protein sorting-associated protein 26B,0.53,Up in X5H,2.387,4.77937872206504,6.3426821524698e-4,17.18,5,0.00410608865384728,7.5606734118563e-4,0.00538345422117377,0.53
HM13,Minor histocompatibility antigen H13,-0.38,Non-significant,2.386,-4.77778983729184,6.3585026858541e-4,22.17,8,0.00411183173685233,0.00106110646195104,0.00666514536662878,-0.38
ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C,0.38,Non-significant,2.382,4.77169260102609,6.4196012518717e-4,17.94,8,0.00414681010996999,0.00107086570677523,0.00671931324176994,0.38
GGH,Gamma-glutamyl hydrolase,-0.16,Non-significant,2.38,-4.76796159227808,6.4572944512242e-4,20.93,16,0.00416660973477579,0.00413376400106497,0.016404749560229,-0.16
SPRYD7,SPRY domain-containing protein 7,-0.63,Up in X5,2.38,-4.7660270812001,6.4769302532035e-4,16.66,2,0.0041701845819592,1.6949496279867e-4,0.00233224048907814,-0.63
UQCR11,Cytochrome b-c1 complex subunit 10,-0.53,Up in X5,2.38,-4.76650887681968,6.4720340035489e-4,17.92,2,0.0041701845819592,3.79598285132119e-5,0.00104742095735477,-0.53
GPAA1,Glycosylphosphatidylinositol anchor attachment 1 protein,-0.36,Non-significant,2.38,-4.76525333748673,6.4848016227079e-4,18.83,7,0.00417071426103946,9.1334743714955e-4,0.00605182170841425,-0.36
SERPINA11,Serpin A11,1.01,Up in X5H,2.379,4.76312873938843,6.5064674199916e-4,16.15,2,0.00418010507319118,6.4197564841274e-4,0.00480831634387115,1.01
TBCE,Tubulin-specific chaperone E,0.39,Up in X5H,2.379,4.76201205834202,6.5178855531569e-4,17.74,15,0.0041828990041247,0.00153260242998438,0.00833493435497937,0.39
NOP56,Nucleolar protein 56,-0.18,Non-significant,2.378,-4.75983364729739,6.5402209543285e-4,21.39,30,0.00419268552402623,0.00460502190275248,0.0176133901736176,-0.18
TM9SF3,Transmembrane 9 superfamily member 3,-0.32,Non-significant,2.377,-4.75787496395524,6.5603725585053e-4,20.1,13,0.00420105242734588,0.00161358602656769,0.00860358736343132,-0.32
ELMO2,Engulfment and cell motility protein 2,0.36,Non-significant,2.376,4.75667597551966,6.5727405401569e-4,17.47,10,0.00420442224606578,0.00131358590620876,0.00760517397948848,0.36
ALG2,"Alpha-1,3/1,6-mannosyltransferase ALG2",-0.51,Up in X5,2.376,-4.75484592976443,6.5916656409131e-4,18.04,14,0.00421197468653168,0.00137915075663896,0.0078446948493785,-0.51
BTAF1,TATA-binding protein-associated factor 172,0.44,Up in X5H,2.375,4.75411559249749,6.59923437029e-4,17.08,15,0.00421226211100392,0.00146034860596436,0.00808314565153517,0.44
PPA1,Inorganic pyrophosphatase,0.4,Up in X5H,2.373,4.7492418622527,6.6499782482058e-4,20.6,15,0.00423708909135235,0.00153139107567731,0.00833493435497937,0.4
SYNJ2BP,Synaptojanin-2-binding protein,-0.32,Non-significant,2.373,-4.7490052882614,6.6524518605143e-4,20.11,10,0.00423708909135235,0.00135344291295495,0.00776184114656975,-0.32
DNAJA2,DnaJ homolog subfamily A member 2,0.28,Non-significant,2.373,4.74772492450405,6.6658562008066e-4,19.95,14,0.00424106141292181,0.00182993711118825,0.00939721729659773,0.28
HOGA1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",-0.55,Up in X5,2.372,-4.74540719349734,6.6901935748617e-4,18.36,4,0.00424943893178247,5.9764681807994e-4,0.004598538650948,-0.55
PITRM1,"Presequence protease, mitochondrial",-0.23,Non-significant,2.372,-4.74510373484264,6.6933869941207e-4,18.46,24,0.00424943893178247,0.00297871105363605,0.0130943783836289,-0.23
OPLAH,5-oxoprolinase,0.33,Non-significant,2.368,4.73832478750242,6.7651461993051e-4,18.11,16,0.00429039336133856,0.00175493870333914,0.00910556522916312,0.33
LYZ,Lysozyme C,0.54,Up in X5H,2.363,4.73118856498756,6.8415665430608e-4,17.89,3,0.00433421298022391,3.0187494033576e-4,0.00317828117787675,0.54
STX12,Syntaxin-12,-0.34,Non-significant,2.363,-4.73036172502069,6.8504797955321e-4,18.3,5,0.00433521806953624,3.8581767755536e-4,0.00359023391336924,-0.34
GSS,Glutathione synthetase,0.29,Non-significant,2.362,4.72838037680691,6.8718885021468e-4,20.26,23,0.0043441201140174,0.00217851616874115,0.0106092840908983,0.29
SLC25A22,Mitochondrial glutamate carrier 1,-0.29,Non-significant,2.357,-4.7199202207737,6.9641000686088e-4,19.38,8,0.00439771399209804,0.001078567548521,0.00675008983053129,-0.29
MT-CO2,Cytochrome c oxidase subunit 2,-0.3,Non-significant,2.356,-4.71812783222843,6.983803533759e-4,23.58,5,0.00440545474512284,2.5535045104642e-4,0.00288341339473603,-0.3
TEX10,Testis-expressed protein 10,-0.26,Non-significant,2.354,-4.71408521329652,7.0284599990238e-4,18.67,20,0.0044260746112572,0.0024684631676328,0.0114736029559178,-0.26
TMX4,Thioredoxin-related transmembrane protein 4,-0.58,Up in X5,2.354,-4.7138153289987,7.0314519766465e-4,19.27,5,0.0044260746112572,9.0940941302411e-4,0.00604519515990494,-0.58
HSPA14,Heat shock 70 kDa protein 14,0.35,Non-significant,2.353,4.7112858390428,7.0595597742628e-4,17.62,7,0.00443904518430532,9.8492021337071e-4,0.00632079490511334,0.35
MSMO1,Methylsterol monooxygenase 1,-0.43,Up in X5,2.352,-4.70914742898748,7.0834144663911e-4,19.55,3,0.00444829742559718,8.80937338183975e-5,0.0017084049415422,-0.43
MTDH,Protein LYRIC,-0.25,Non-significant,2.352,-4.70862014557947,7.0893095696098e-4,20.15,20,0.00444829742559718,0.00249660178376376,0.0115409318394767,-0.25
SUGT1,Protein SGT1 homolog,0.34,Non-significant,2.351,4.70743812912033,7.10254352089e-4,19.29,14,0.00445188029799853,0.00171984073737213,0.00900567252489565,0.34
APOO,MICOS complex subunit MIC26,-0.38,Non-significant,2.347,-4.70078273152235,7.1775466430505e-4,18.79,5,0.00449413158591854,5.3162408658736e-4,0.00430906811005132,-0.38
TM9SF4,Transmembrane 9 superfamily member 4,-0.33,Non-significant,2.346,-4.69752016040283,7.2146194069767e-4,22.29,10,0.00451256903076969,0.00144437922384247,0.00805644506766978,-0.33
GART,Trifunctional purine biosynthetic protein adenosine-3,0.31,Non-significant,2.345,4.69551614546722,7.2374913581975e-4,19.4,33,0.00452209465326873,0.00224732843678314,0.0107520436684112,0.31
DDX28,Probable ATP-dependent RNA helicase DDX28,-0.62,Up in X5,2.342,-4.69075578429204,7.292129239734e-4,17.54,16,0.00454974528680544,0.00146722179896831,0.00810602370167647,-0.62
DNAJB11,DnaJ homolog subfamily B member 11,-0.25,Non-significant,2.342,-4.68941521102174,7.3075943947577e-4,20.8,15,0.00454974528680544,0.00227269872089467,0.0108186309988204,-0.25
IAH1,Isoamyl acetate-hydrolyzing esterase 1 homolog,0.65,Up in X5H,2.342,4.68899038007851,7.31250256507e-4,16.16,4,0.00454974528680544,8.2476144870768e-4,0.00570773507836652,0.65
TNPO3,Transportin-3,0.39,Up in X5H,2.342,4.68974867953941,7.3037441930894e-4,17.45,11,0.00454974528680544,0.00149417866823633,0.00821489248319888,0.39
DMD,Dystrophin,-0.35,Non-significant,2.342,-4.68787540035929,7.3254007507053e-4,18.11,14,0.00455298279852136,0.00172138171804242,0.00900567252489565,-0.35
MRPS31,"28S ribosomal protein S31, mitochondrial",-0.29,Non-significant,2.336,-4.67904560386799,7.4283970755368e-4,19.98,13,0.00461215377711975,0.00188586899340976,0.00959474362339256,-0.29
PUS7,Pseudouridylate synthase 7 homolog,0.55,Up in X5H,2.335,4.67652386961364,7.4580920900598e-4,18.11,15,0.00462573699128763,0.00152282359917481,0.00831524462341324,0.55
ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",-0.24,Non-significant,2.334,-4.67402893756772,7.4875948694655e-4,21.7,38,0.00463917265367831,0.00319652675663041,0.0136957630839842,-0.24
BLVRA,Biliverdin reductase A,0.34,Non-significant,2.329,4.66704413299192,7.5708480416825e-4,20.47,13,0.00468584810278617,0.00174500899963343,0.00908110664101232,0.34
EDEM3,ER degradation-enhancing alpha-mannosidase-like protein 3,-0.31,Non-significant,2.329,-4.66589393057855,7.5846509737503e-4,17.99,12,0.00468948587373887,0.00175586444591433,0.00910556522916312,-0.31
VAPA,Vesicle-associated membrane protein-associated protein B/C;Vesicle-associated membrane protein-associated protein A,-0.28,Non-significant,2.329,-4.66494745817079,7.5960289823951e-4,21.68,8,0.00469161831824967,0.00116497076457505,0.00709900310400675,-0.28
ADH5,Alcohol dehydrogenase class-3,0.31,Non-significant,2.327,4.66174834310434,7.6346206890935e-4,20.77,18,0.00471053708210289,0.00210118904259427,0.0103433740141683,0.31
GSTZ1,Maleylacetoacetate isomerase,-0.4,Up in X5,2.325,-4.65769639404374,7.683797680994e-4,18.75,6,0.00473594071650436,9.1539521535733e-4,0.00605183630085958,-0.4
NT5E,5'-nucleotidase,-0.44,Up in X5,2.323,-4.65485830526031,7.7184415653958e-4,17.59,7,0.00475234326144089,0.00117857183224488,0.00715976337925354,-0.44
TBC1D13,TBC1 domain family member 13,0.33,Non-significant,2.32,4.6502844627661,7.7746208053226e-4,17.63,10,0.00478195751612207,0.00154527989912814,0.00838845978269833,0.33
EIF2A,Eukaryotic translation initiation factor 2A,0.26,Non-significant,2.319,4.64737390581157,7.8105949557795e-4,17.98,17,0.00479909557147951,0.002476185232308,0.0114824357520113,0.26
HPF1,Histone PARylation factor 1,0.72,Up in X5H,2.318,4.64604332328366,7.8270992827556e-4,17.44,3,0.00480424755768308,7.1410137506832e-4,0.00517554321350656,0.72
LIMS1,LIM and senescent cell antigen-like-containing domain protein 1,1.08,Up in X5H,2.318,4.64496531830828,7.8404976695525e-4,17.98,4,0.00480748442598367,0.00120516532590846,0.00726167335376821,1.08
GADD45GIP1,Growth arrest and DNA damage-inducible proteins-interacting protein 1,-0.4,Up in X5,2.318,-4.64286287849676,7.866698317757e-4,18.22,5,0.00481357331397812,6.6071255749832e-4,0.00491752981473911,-0.4
TRNT1,"CCA tRNA nucleotidyltransferase 1, mitochondrial",0.18,Non-significant,2.318,4.64301058247468,7.8648546132582e-4,18.28,15,0.00481357331397812,0.00362384119743774,0.0149182685793504,0.18
PTCD1,"Pentatricopeptide repeat-containing protein 1, mitochondrial",-0.38,Up in X5,2.317,-4.64102112371834,7.889726236075e-4,17.48,9,0.00482267666723722,0.00142878380117527,0.00799646668256218,-0.38
EHD1,EH domain-containing protein 1;EH domain-containing protein 1;EH domain-containing protein 3,0.47,Up in X5H,2.316,4.63753583731839,7.9334985528313e-4,19.33,6,0.00482914230333385,0.00107871012875807,0.00675008983053129,0.47
GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial",-0.44,Up in X5,2.316,-4.63655757166999,7.9458307707381e-4,18.34,4,0.00482914230333385,4.7395284991358e-4,0.0040005406746629,-0.44
MCEE,"Methylmalonyl-CoA epimerase, mitochondrial",-0.45,Up in X5,2.316,-4.63628483025923,7.9492726101861e-4,19.54,4,0.00482914230333385,4.9294330050404e-4,0.00410762810004152,-0.45
MRPS5,"28S ribosomal protein S5, mitochondrial",-0.41,Up in X5,2.316,-4.63645796022926,7.9470876273898e-4,19.29,13,0.00482914230333385,0.00169660419269595,0.00891545915469088,-0.41
SERPINH1,Serpin H1,-0.19,Non-significant,2.316,-4.63654014242469,7.9460506707259e-4,20.51,21,0.00482914230333385,0.00430280857323124,0.0168695206085677,-0.19
SPCS3,Signal peptidase complex subunit 3,-0.39,Up in X5,2.316,-4.6365557074674,7.945854290562e-4,21.07,3,0.00482914230333385,4.4964401666326e-5,0.00115675810721587,-0.39
DDX10,Probable ATP-dependent RNA helicase DDX10,-0.26,Non-significant,2.316,-4.63521520199074,7.9627858942389e-4,17.26,15,0.0048323901678166,0.00233864513762324,0.0110437057297021,-0.26
AFG3L2,Ankyrin-2;AFG3-like protein 2,-0.31,Non-significant,2.314,-4.63152075743904,8.0096468950806e-4,19.91,30,0.00485087826798281,0.00245784933030142,0.011433250383171,-0.31
MESD,LRP chaperone MESD,-0.28,Non-significant,2.314,-4.63160360835964,8.0085928151842e-4,21.01,15,0.00485087826798281,0.0022051175412834,0.010682185187898,-0.28
COPB2,Coatomer subunit beta',0.25,Non-significant,2.314,4.63048217972157,8.022872740736e-4,21.15,30,0.00485392004160894,0.00313021654365683,0.013539101819311,0.25
LYAR,Cell growth-regulating nucleolar protein,-0.29,Non-significant,2.313,-4.62789941373264,8.0558631794388e-4,18.91,13,0.0048589747637859,0.00200346540223524,0.00997853938133496,-0.29
NHLRC2,NHL repeat-containing protein 2,0.44,Up in X5H,2.313,4.62825769759932,8.0512781745107e-4,17.45,7,0.0048589747637859,0.00123263975297499,0.00735976732427146,0.44
SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,-0.48,Up in X5,2.313,-4.62838750406096,8.0496177040467e-4,19.84,12,0.0048589747637859,0.00160595676731565,0.00859172350109107,-0.48
CYP4F11,Cytochrome P450 4F2;Cytochrome P450 4F2;Cytochrome P450 4F11;Cytochrome P450 4F11;Cytochrome P450 4F12,-0.63,Up in X5,2.312,-4.62497393411073,8.0934041695414e-4,17.95,1,0.00487633055528155,2.72245446150852e-5,8.6435865040279e-4,-0.63
NADSYN1,Glutamine-dependent NAD(+) synthetase,0.46,Up in X5H,2.312,4.62437440140913,8.1011203918231e-4,17.88,7,0.00487633055528155,0.00125345678674789,0.00743762478224377,0.46
GATD3A,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",-0.29,Non-significant,2.311,-4.62287592775039,8.1204403036348e-4,21.26,11,0.00488299240615929,0.00178795704943107,0.00924767645234585,-0.29
ANGPTL3,Angiopoietin-related protein 3,1.75,Up in X5H,2.311,4.62190675954437,8.1329617322386e-4,15.03,5,0.00488555680910212,0.00141123156089039,0.00792996879941923,1.75
NMRAL1,NmrA-like family domain-containing protein 1,1.15,Up in X5H,2.311,4.62078799706445,8.1474412188233e-4,14.98,3,0.00488929104379083,0.00114425101072448,0.00700883357190142,1.15
TSNAX,Translin-associated protein X,0.43,Up in X5H,2.306,4.6129120708461,8.2501475280321e-4,18.85,6,0.0049459091107767,0.00105652262119666,0.00664886298336296,0.43
ACOT8,Acyl-coenzyme A thioesterase 8,-0.34,Non-significant,2.305,-4.61092437507245,8.2762834063313e-4,19.36,9,0.00495655555822493,0.00149462960076549,0.00821489248319888,-0.34
DHRS13,Dehydrogenase/reductase SDR family member 13,-0.54,Up in X5,2.305,-4.61027518619534,8.2848383921866e-4,16.74,5,0.00495666216042147,0.00100936653924569,0.00641506102332627,-0.54
RPL30,60S ribosomal protein L30,-0.61,Up in X5,2.303,-4.60644354784404,8.3355219520894e-4,21.17,7,0.00498194781722357,0.00137735203213273,0.0078446948493785,-0.61
LBR,Delta(14)-sterol reductase LBR,-0.2,Non-significant,2.301,-4.60407342691077,8.3670367184624e-4,20.37,12,0.00499573726166924,0.0025890422354158,0.01186627645775,-0.2
P4HA2,Prolyl 4-hydroxylase subunit alpha-2,0.26,Non-significant,2.3,4.60109568726954,8.4068090438779e-4,20.3,23,0.00501442430570824,0.0028705354330964,0.0128188363453822,0.26
FBXO7,F-box only protein 7,0.73,Up in X5H,2.3,4.60035399446662,8.4167464875247e-4,15.3,3,0.0050152959684475,7.9329485505152e-4,0.00557473355978604,0.73
ERAL1,"GTPase Era, mitochondrial",-0.36,Non-significant,2.3,-4.59907126778249,8.4339621348593e-4,18.4,11,0.00501674655822437,0.00172047629190799,0.00900567252489565,-0.36
TMEM126A,Transmembrane protein 126A,-0.4,Up in X5,2.3,-4.59890934576032,8.4361379507068e-4,18.63,7,0.00501674655822437,0.00124708937666757,0.0074235692572857,-0.4
ASL,Argininosuccinate lyase,0.29,Non-significant,2.299,4.59678349187692,8.4647589379358e-4,19.12,15,0.00502871271443437,0.00222242531283724,0.0106841621812648,0.29
CCDC58,Coiled-coil domain-containing protein 58,-0.29,Non-significant,2.295,-4.59129295280127,8.5391545034864e-4,20.51,6,0.00506782118326269,6.730557892082e-4,0.00498990829910428,-0.29
HDHD3,Haloacid dehalogenase-like hydrolase domain-containing protein 3,-0.3,Non-significant,2.291,-4.58396040201514,8.639585954658e-4,20.73,12,0.00511937283509863,0.00198548012745324,0.00992236985991623,-0.3
LDHAL6B,L-lactate dehydrogenase A-like 6B,0.83,Up in X5H,2.291,4.58368938844168,8.6433217209118e-4,18.69,2,0.00511937283509863,6.5333925455915e-4,0.00487631307271464,0.83
NUDT5,ADP-sugar pyrophosphatase,0.29,Non-significant,2.29,4.5825247388306,8.6593951449779e-4,19.5,14,0.00512376410728345,0.0021899501903312,0.0106474406542233,0.29
USE1,Vesicle transport protein USE1,-0.54,Up in X5,2.289,-4.58023177643254,8.691132688608e-4,17.11,3,0.00513740580604331,4.1395537112409e-4,0.00370555814060704,-0.54
ABCC5,Multidrug resistance-associated protein 5;Multidrug resistance-associated protein 5;Canalicular multispecific organic anion transporter 1,-0.62,Up in X5,2.288,-4.57722668682967,8.7329128072029e-4,17.87,1,0.00514940177466438,2.75281294631308e-5,8.6435865040279e-4,-0.62
CCDC22,Coiled-coil domain-containing protein 22,0.4,Up in X5H,2.288,4.57746526020262,8.7295881671178e-4,17.98,15,0.00514940177466438,0.00192543537318794,0.00974164199298402,0.4
TUBGCP3,Gamma-tubulin complex component 3,0.42,Up in X5H,2.288,4.57689517065983,8.7375348686209e-4,17.05,12,0.00514940177466438,0.0017739980207532,0.009183505064564,0.42
MTIF2,"Translation initiation factor IF-2, mitochondrial",-0.2,Non-significant,2.285,-4.57180627349087,8.8088098372449e-4,18.89,13,0.00518624157283366,0.00296772325502453,0.0130871965305518,-0.2
CUL1,Cullin-1,0.36,Non-significant,2.283,4.56580114835032,8.893706705539e-4,18.72,23,0.00521546705417985,0.00226002991128317,0.0107843524073085,0.36
NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,-0.37,Non-significant,2.283,-4.5660729237198,8.889845931528e-4,20.43,7,0.00521546705417985,0.00127182030465012,0.00751784289971503,-0.37
PHKA2,"Phosphorylase b kinase regulatory subunit alpha, liver isoform",0.64,Up in X5H,2.283,4.56636714230411,8.8856683263427e-4,17.29,5,0.00521546705417985,0.00122033542351976,0.0073306849756004,0.64
ZNF24,Zinc finger protein 24,0.73,Up in X5H,2.283,4.56581598996478,8.8934958235957e-4,14.91,2,0.00521546705417985,4.9221284796654e-4,0.00410762810004152,0.73
PAICS,Multifunctional protein ADE2,0.38,Non-significant,2.282,4.56478237202117,8.9081949304379e-4,20.28,19,0.00521879103003972,0.00211938076589583,0.0104001066986761,0.38
ACTR2,Actin-related protein 2,0.21,Non-significant,2.282,4.56302552923824,8.9332378262263e-4,19.09,11,0.00522311938910884,0.00229947141546962,0.0109109642063623,0.21
RDH14,Retinol dehydrogenase 14,-0.25,Non-significant,2.282,-4.56314046731326,8.9315971760516e-4,19.08,7,0.00522311938910884,9.5937613090819e-4,0.00621496527451413,-0.25
GLYATL1,Glycine N-acyltransferase-like protein 1,-0.72,Up in X5,2.282,-4.56207302721359,8.9468462711326e-4,15.26,2,0.00522591208156881,4.8130654194914e-4,0.00404359711483991,-0.72
MTO1,"Protein MTO1 homolog, mitochondrial",-0.48,Up in X5,2.28,-4.55881992576493,8.9934884993599e-4,17.08,7,0.00524280506903573,0.00140531092921029,0.0079117267061249,-0.48
NMT1,Glycylpeptide N-tetradecanoyltransferase 1,0.47,Up in X5H,2.28,4.55904820416358,8.990207148454e-4,18.8,10,0.00524280506903573,0.0016760732193943,0.00886266777404474,0.47
COPG2,Coatomer subunit gamma-2;Coatomer subunit gamma-2;Coatomer subunit gamma-1,0.34,Non-significant,2.279,4.5561046489904,9.0326157628724e-4,19.41,6,0.00525525933814318,9.2748417258163e-4,0.00611127377412643,0.34
COPS7B,COP9 signalosome complex subunit 7b,0.79,Up in X5H,2.279,4.55617508524131,9.0315985095516e-4,18.45,6,0.00525525933814318,0.00146284019754563,0.00808936957839019,0.79
HNRNPA0,Heterogeneous nuclear ribonucleoprotein A0,-0.26,Non-significant,2.279,-4.55386998044185,9.0649520327805e-4,21.98,12,0.00525856089980026,0.0022227824311538,0.0106841621812648,-0.26
LIPA,Lysosomal acid lipase/cholesteryl ester hydrolase,-0.42,Up in X5,2.279,-4.55480002968223,9.0514791652941e-4,20.83,6,0.00525856089980026,0.00114195168191029,0.00700199803301887,-0.42
PAFAH1B3,Platelet-activating factor acetylhydrolase IB subunit alpha1,0.35,Non-significant,2.279,4.55393243972644,9.0640465741348e-4,19.16,4,0.00525856089980026,2.372011812137e-4,0.00274661328618687,0.35
ELMOD2,ELMO domain-containing protein 2,-0.41,Up in X5,2.279,-4.55192783254233,9.0931545518399e-4,19.68,5,0.00526459838387838,8.1998457296799e-4,0.00568798208470294,-0.41
NDUFA8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,-0.21,Non-significant,2.279,-4.55241151242691,9.086122252596e-4,19.69,10,0.00526459838387838,0.0020081623196592,0.00999352098017114,-0.21
TRUB2,Mitochondrial mRNA pseudouridine synthase TRUB2,-0.89,Up in X5,2.277,-4.5485430062003,9.1425279019715e-4,15.98,4,0.00528800954017259,0.00129704154607117,0.00759491150458984,-0.89
FNTB,Protein farnesyltransferase subunit beta,0.62,Up in X5H,2.276,4.54639932029146,9.1739432121514e-4,17.35,6,0.00529582653524877,0.00140139003582228,0.00790091845283536,0.62
STX4,Syntaxin-4,-0.27,Non-significant,2.276,-4.54681789014256,9.1678002241312e-4,19.02,8,0.00529582653524877,0.00138566646677014,0.00786096690688296,-0.27
AMPD2,AMP deaminase 2,0.3,Non-significant,2.275,4.54228420596168,9.2345686677684e-4,18.86,13,0.00531133871602551,0.00220836115704522,0.010682185187898,0.3
COMMD7,COMM domain-containing protein 7,0.42,Up in X5H,2.275,4.54122171866525,9.2502901199109e-4,16.9,5,0.00531133871602551,8.5818423311482e-4,0.00581765000211113,0.42
DHRS3,Short-chain dehydrogenase/reductase 3,-0.34,Non-significant,2.275,-4.54156864216409,9.2451536502543e-4,18.52,6,0.00531133871602551,9.5747178890454e-4,0.00621201817428531,-0.34
GSTA1,Glutathione S-transferase A1;Glutathione S-transferase A1;Glutathione S-transferase A1;Glutathione S-transferase A2,-0.51,Up in X5,2.275,-4.54110740809556,9.2519832345788e-4,20.79,5,0.00531133871602551,0.00108367878446469,0.00676384743425906,-0.51
RPAP3,RNA polymerase II-associated protein 3,0.39,Up in X5H,2.275,4.54092583095643,9.2546733415959e-4,16.89,13,0.00531133871602551,0.00195372665984871,0.00983010259041227,0.39
UBE2M,NEDD8-conjugating enzyme Ubc12,0.35,Non-significant,2.275,4.54361927295931,9.2148538078183e-4,19.27,7,0.00531133871602551,0.00128493691027477,0.00755762594244119,0.35
APRT,Adenine phosphoribosyltransferase,0.42,Up in X5H,2.274,4.53767265070246,9.3030098808897e-4,21.74,16,0.0053184453589589,0.0020177670027525,0.0100160464389988,0.42
CD276,CD276 antigen,-0.73,Up in X5,2.274,-4.53767454370286,9.3029816770036e-4,15.3,3,0.0053184453589589,8.8315153475347e-4,0.00593145020560308,-0.73
PSME3,Proteasome activator complex subunit 3,0.27,Non-significant,2.274,4.53842376056038,9.2918261376626e-4,20.13,17,0.0053184453589589,0.00265382305713215,0.012060423217397,0.27
THUMPD1,THUMP domain-containing protein 1,0.42,Up in X5H,2.274,4.53845064910241,9.2914260401444e-4,19.87,10,0.0053184453589589,0.00174388949961821,0.00908110664101232,0.42
SFXN4,Sideroflexin-4,-0.34,Non-significant,2.274,-4.53635287164227,9.3226952663152e-4,17.07,5,0.00532455481571303,5.9274889805882e-4,0.00458469964681575,-0.34
BTD,Biotinidase,-1.53,Up in X5,2.274,-4.53559807882721,9.3339732299224e-4,16.25,3,0.00532496195593612,0.0014536442915884,0.00806868036897617,-1.53
UBXN4,UBX domain-containing protein 4,-0.35,Non-significant,2.274,-4.53510109040485,9.3414069803307e-4,19.49,8,0.00532496195593612,0.00150770439079442,0.00826026562993574,-0.35
CAPG,Macrophage-capping protein,0.7,Up in X5H,2.27,4.52961232963064,9.4239217562731e-4,16.93,3,0.0053668282032597,8.4548706925517e-4,0.00578244919707915,0.7
CYP4F2,Cytochrome P450 4F2;Cytochrome P450 4F2;Cytochrome P450 4F2;Cytochrome P450 4F11;Cytochrome P450 4F11,-0.59,Up in X5,2.27,-4.52806808645269,9.4472751609484e-4,17.99,1,0.00537495453147422,1.78611605025599e-5,7.0456324462431e-4,-0.59
GLB1,Beta-galactosidase,-0.19,Non-significant,2.269,-4.52561943339849,9.4844309255581e-4,21.36,20,0.00538849477917509,0.00433291927781384,0.0169226952916333,-0.19
GSTP1,Glutathione S-transferase P,1.96,Up in X5H,2.269,4.52530010441729,9.4892877470009e-4,14.44,2,0.00538849477917509,0.00147243080723296,0.00812721369999762,1.96
WASF2,Wiskott-Aldrich syndrome protein family member 2,0.5,Up in X5H,2.267,4.522102904186,9.5380601359327e-4,17.98,9,0.00541099729859194,0.00169351428505388,0.00891219834866857,0.5
RTF1,RNA polymerase-associated protein RTF1 homolog,0.39,Up in X5H,2.265,4.51861354478175,9.591590850425e-4,17.87,9,0.00543615354999664,0.00170572250933666,0.00895542155079414,0.39
LDHD,"Probable D-lactate dehydrogenase, mitochondrial",-0.41,Up in X5,2.264,-4.51685761074713,9.6186484795434e-4,17.7,6,0.00544627206253192,0.00118822863035954,0.00718890470944517,-0.41
SPTLC2,Serine palmitoyltransferase 2,-0.31,Non-significant,2.264,-4.5157442718789,9.6358458405834e-4,17.92,13,0.00545079348362639,0.00222217753524652,0.0106841621812648,-0.31
