"Genes","ProtDesc","logFC","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val"
"TMCO1","Calcium load-activated calcium channel",-0.35,"Non-significant",2.7,-5.01631342639931,0.000465476600602969,20.9,5,0.00199726254225364,0.000298600426855538,0.00149730400483408
"FKBP7","Peptidyl-prolyl cis-trans isomerase FKBP7",1.14,"Up in X5H",2.697,5.01136826523563,0.000468974409610676,16.61,3,0.00201081274033795,0.000694271256566379,0.00290113207987519
"IRF2BP2","Interferon regulatory factor 2-binding protein 2;Interferon regulatory factor 2-binding protein 2;Probable E3 ubiquitin-protein ligase IRF2BPL",-0.46,"Up in X3H",2.695,-5.00773838822355,0.000471559658215167,17.27,4,0.00202043337991248,0.00031459302676395,0.00155900078673559
"PURB","Transcriptional activator protein Pur-beta",1.21,"Up in X5H",2.692,5.00410163060816,0.000474164995014013,16.14,3,0.00203012610383351,0.000724831929065023,0.00299595991279121
"SIN3A","Paired amphipathic helix protein Sin3a",-0.21,"Non-significant",2.692,-5.002711470497,0.000475164927637564,18.14,26,0.00203293628115073,0.00213028458878891,0.00706156521673052
"DUSP9","Dual specificity protein phosphatase 9",-0.29,"Non-significant",2.692,-5.0017124631611,0.000475884889862435,18.7,16,0.00203454544314742,0.00131170286817882,0.0047909542413667
"GET3","ATPase GET3",-0.39,"Up in X3H",2.691,-5.00030758292714,0.000476899316807133,19.62,8,0.00203741029425834,0.000824111499375137,0.00330370443211564
"KIAA1217","Sickle tail protein homolog",-0.48,"Up in X3H",2.69,-4.99767906012044,0.000478803478050634,16.89,15,0.00204381960808276,0.00104678525870172,0.00398829901850488
"TAP1","Antigen peptide transporter 1",-0.48,"Up in X3H",2.69,-4.99728397641941,0.000479090383033766,17.37,5,0.00204381960808276,0.000550118042051527,0.00240758021806131
"PDXK","Pyridoxal kinase",0.39,"Up in X5H",2.686,4.99204032046475,0.000482915605571322,19.16,7,0.00205865391798668,0.000732975304155259,0.00302020534448932
"PEX14","Peroxisomal membrane protein PEX14",-0.5,"Up in X3H",2.679,-4.98062450564572,0.000491356023670582,18.92,8,0.00209312713611147,0.000886459987617926,0.00350145777485665
"GTF2A2","Transcription initiation factor IIA subunit 2",1.87,"Up in X5H",2.678,4.97894817599907,0.000492608571004588,15.29,1,0.00209695317599579,0.000717834566600912,0.00297438874690308
"CMIP","C-Maf-inducing protein",1.16,"Up in X5H",2.677,4.97608636224949,0.000494754749692022,15.33,4,0.00210457502079633,0.000827500068137922,0.00331279966385121
"SPPL2B","Signal peptide peptidase-like 2B",1.81,"Up in X5H",2.676,4.97508035812562,0.000495511545797622,15.39,1,0.00210628004057797,0.000708067510128469,0.00294629779003527
"STK24","Serine/threonine-protein kinase 25;Serine/threonine-protein kinase 26;Serine/threonine-protein kinase 24",0.59,"Up in X5H",2.675,4.97211889826658,0.000497746535180418,18.14,8,0.0021142614850413,0.000913970594414733,0.00359572074943616
"RAB22A","Ras-related protein Rab-22A",-0.28,"Non-significant",2.674,-4.97027441478832,0.000499143959527433,17.01,10,0.00211867633323086,0.00103086613917219,0.00394798378348339
"ST13","Hsc70-interacting protein",-0.21,"Non-significant",2.673,-4.96838513238105,0.000500579644351432,21.29,8,0.00212324713665048,0.000658419895959406,0.00277286158319701
"COA5","Cytochrome c oxidase assembly factor 5",-0.65,"Up in X3H",2.673,-4.96770023026279,0.000501101190752719,16.92,3,0.00212393678057581,0.000390754632422887,0.00184819756998099
"CRYZ","Quinone oxidoreductase",-0.15,"Non-significant",2.673,-4.96715144514978,0.00050151950172279,21.53,21,0.0021241881830306,0.00361060285623531,0.0108226631714004
"TMEM165","Transmembrane protein 165",-0.72,"Up in X3H",2.67,-4.96261328863713,0.000504992951161191,17.11,2,0.0021373700229047,0.000246520776717528,0.00130587594972033
"SOD2","Superoxide dismutase [Mn], mitochondrial",0.2,"Non-significant",2.67,4.96210386298619,0.000505384450878355,22.74,18,0.00213749806708165,0.00204788686128745,0.00683437482134114
"PNPT1","Polyribonucleotide nucleotidyltransferase 1, mitochondrial",-0.14,"Non-significant",2.669,-4.96029813606336,0.000506774771263781,20.18,28,0.00214184737254842,0.00454154017784254,0.0130069183118559
"NAA35","N-alpha-acetyltransferase 35, NatC auxiliary subunit",-0.4,"Up in X3H",2.667,-4.95621005183706,0.000509937419448284,17.36,5,0.00215213959406241,0.000456425539811897,0.00209030179494349
"WDR26","WD repeat-containing protein 26",-0.35,"Non-significant",2.667,-4.95628874465746,0.000509876343232696,18.06,9,0.00215213959406241,0.000950778376145761,0.00369629149254564
"RUVBL2","RuvB-like 2",-0.15,"Non-significant",2.667,-4.95516437410528,0.000510749743804842,20.66,25,0.00215403152822042,0.00412042649760308,0.0120042164383641
"SPTAN1","Spectrin alpha chain, non-erythrocytic 1",0.84,"Up in X5H",2.663,4.94955230423313,0.000515132959463807,16.62,2,0.00217096988685708,0.000393427220220648,0.00185343062264775
"TK1","Thymidine kinase, cytosolic",-2.3,"Up in X3H",2.662,-4.9468343015539,0.000517270148415381,15,3,0.00217842524425182,0.000932209371247163,0.00365093325434026
"TRUB2","Mitochondrial mRNA pseudouridine synthase TRUB2",-1.13,"Up in X3H",2.656,-4.93689356986315,0.000525167145723065,16.09,4,0.00221010953146755,0.000869258908043375,0.00344732235850714
"HNRNPH1","Heterogeneous nuclear ribonucleoprotein H3;Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein F",-0.5,"Up in X3H",2.653,-4.93283086993169,0.00052843133475526,21.8,2,0.00222226596144056,1.86683398622962e-05,0.000200472898303461
"FKBP1A","Peptidyl-prolyl cis-trans isomerase FKBP1A",0.53,"Up in X5H",2.651,4.92863923960661,0.00053182169297681,22.42,2,0.00223493533902258,3.97471157294406e-05,0.000338393789598705
"GNB1","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2",-0.59,"Up in X3H",2.649,-4.9252579072051,0.000534573471560128,20.94,1,0.00224490506119324,3.98396659196083e-06,7.48353343639119e-05
"ELOB","Elongin-B",-0.24,"Non-significant",2.649,-4.92441489510421,0.000535261877956031,19.85,9,0.00224620179564953,0.000960658835053877,0.00372980205184632
"AK6","Adenylate kinase isoenzyme 6",-0.49,"Up in X3H",2.646,-4.92053548576825,0.000538441964382933,16.41,3,0.00225794550195168,0.000173475297181404,0.000993662471851278
"EIF4E","Eukaryotic translation initiation factor 4E",-0.31,"Non-significant",2.646,-4.91974283170715,0.000539094193818335,19.7,6,0.0022590795643223,0.00050895515680084,0.00226939537512477
"GAR1","H/ACA ribonucleoprotein complex subunit 1",-0.17,"Non-significant",2.644,-4.91669351681107,0.000541611126755773,19.77,8,0.00226802054990369,0.000580086546639428,0.00250721117345909
"PHPT1","14 kDa phosphohistidine phosphatase",1.11,"Up in X5H",2.644,4.91532883470434,0.000542741584458832,18.25,5,0.0022711470687715,0.000950296096754433,0.00369629149254564
"EIF6","Eukaryotic translation initiation factor 6",-0.28,"Non-significant",2.644,-4.91475528801554,0.00054321743865889,21.98,10,0.00227153186186901,0.00110997798693267,0.00418593992905073
"HNRNPH3","Heterogeneous nuclear ribonucleoprotein H3;Heterogeneous nuclear ribonucleoprotein H3;Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H2",-0.51,"Up in X3H",2.64,-4.9075923851592,0.00054919771181124,21.53,2,0.00229168043779062,2.68914920945329e-05,0.000256640256005405
"RPS19","40S ribosomal protein S19",-0.32,"Non-significant",2.64,-4.90846635572893,0.000548464310925942,22,11,0.00229168043779062,0.00117726581620564,0.00438381487381295
"SLC25A32","Mitochondrial folate transporter/carrier",-0.64,"Up in X3H",2.64,-4.90785174271498,0.00054897996088534,16.05,3,0.00229168043779062,0.000434366594412889,0.00201264458820757
"GGT1","Glutathione hydrolase 1 proenzyme",-0.16,"Non-significant",2.639,-4.90542568670611,0.000551020409010249,20.42,12,0.00229604771838989,0.00188468400806803,0.00642007787895136
"IQGAP1","Ras GTPase-activating-like protein IQGAP1;Ras GTPase-activating-like protein IQGAP1;Ras GTPase-activating-like protein IQGAP3",-0.65,"Up in X3H",2.639,-4.90544072051787,0.000551007739989649,18.62,1,0.00229604771838989,2.43501903673016e-05,0.000239335675088578
"NUDT1","7,8-dihydro-8-oxoguanine triphosphatase",-0.73,"Up in X3H",2.638,-4.90367363094269,0.00055249898849715,16.23,3,0.0023005886804628,0.000547458084287885,0.00239948850720846
"NUP98","Nuclear pore complex protein Nup98-Nup96",-0.17,"Non-significant",2.638,-4.90312377908035,0.000552963882022303,19.05,32,0.00230090526717719,0.00348545204595464,0.0105007228899764
"MRPL58","Peptidyl-tRNA hydrolase ICT1, mitochondrial",-0.28,"Non-significant",2.638,-4.90181285475754,0.000554073928786099,19.97,6,0.00230390403136145,0.000422360842237188,0.00196470841471497
"FRG1","Protein FRG1",-0.8,"Up in X3H",2.633,-4.89493109799915,0.000559940078669019,16.81,3,0.00232666112744704,0.000626738410347993,0.00266792170793459
"QKI","Protein quaking",-0.31,"Non-significant",2.631,-4.89137647619671,0.000562995883953704,19.05,7,0.00233771694410812,0.000753929543613552,0.00309576759858528
"PTGR2","Prostaglandin reductase 2",1.21,"Up in X5H",2.63,4.8888827235093,0.00056515024695898,14.67,1,0.00234501683818814,0.000545065683683942,0.00239254721836638
"DNAJC17","DnaJ homolog subfamily C member 17",1.27,"Up in X5H",2.63,4.88826558862245,0.000565684740997361,14.5,2,0.00234558977749221,0.000755237871461236,0.00309684163924888
"ARCN1","Coatomer subunit delta",-0.25,"Non-significant",2.628,-4.884723981284,0.000568762476225235,20.76,21,0.00235669998026941,0.00182921055268406,0.00626719099029044
"TNXA","Tenascin-X",1.65,"Up in X5H",2.628,4.88407528656313,0.000569328128393134,14.97,1,0.00235739295710439,0.000765915851224745,0.00312546489082539
"POLE3","DNA polymerase epsilon subunit 3",-0.64,"Up in X3H",2.627,-4.88335127117437,0.000569960163801999,18.28,2,0.00235835964280869,0.000185347429731141,0.00104150117922048
"H2AX","Histone H2AX;Histone H2AX;Histone H2A type 2-B",-0.85,"Up in X3H",2.627,-4.8819802736169,0.000571159027677244,24.01,5,0.00236166873987858,0.00093716558468622,0.00365778942255169
"L2HGDH","L-2-hydroxyglutarate dehydrogenase, mitochondrial",0.24,"Non-significant",2.626,4.88072002497867,0.000572263407082337,18.99,14,0.00236458280705739,0.00161648762970921,0.00565292984928452
"DDX20","Probable ATP-dependent RNA helicase DDX20",-0.57,"Up in X3H",2.625,-4.87805191234939,0.000574609004493259,17,6,0.00237146699956761,0.000901512197683622,0.00355142987596138
"DIEXF","Digestive organ expansion factor homolog",-0.57,"Up in X3H",2.625,-4.87791339168515,0.000574731059215811,17,12,0.00237146699956761,0.00115005384839931,0.00430555978454791
"EEF1D","Elongation factor 1-delta",1.19,"Up in X5H",2.624,4.87583293853892,0.000576567520639142,15.05,2,0.00237573121143579,0.000727253427309487,0.00300080790055107
"MRPL17","39S ribosomal protein L17, mitochondrial",-0.4,"Up in X3H",2.624,-4.87627339291265,0.000576178203251179,19.93,5,0.00237573121143579,0.000525603135383535,0.00232958333487968
"EIF3J","Eukaryotic translation initiation factor 3 subunit J",-0.31,"Non-significant",2.624,-4.87478703371231,0.000577493113653875,20.52,9,0.00237623557266341,0.00105659501799159,0.00402308411934122
"SCAP","Sterol regulatory element-binding protein cleavage-activating protein",0.51,"Up in X5H",2.624,4.87481809754918,0.000577465600435007,16.28,8,0.00237623557266341,0.0010320035106779,0.00394914282995204
"MYO3B","Myosin-IIIb",-3.8,"Up in X3H",2.622,-4.8718164717018,0.000580130572459015,16.03,1,0.00238542918501737,0.00103395250588715,0.00394957842306926
"ZNF593","Zinc finger protein 593",-0.64,"Up in X3H",2.621,-4.86876881309883,0.000582849763368285,15.6,2,0.00239494586795149,0.000196946362761453,0.001086049979925
"NUCKS1","Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1",1.28,"Up in X5H",2.621,4.86824899586247,0.000583314903994778,16.46,2,0.00239519381466835,0.000784556326940778,0.00317742627413319
"GABARAPL2","Gamma-aminobutyric acid receptor-associated protein-like 2",0.92,"Up in X5H",2.618,4.86268460104798,0.000588318745220243,16.12,2,0.00241158180126713,0.0005532146920176,0.00241755637567809
"SEC61G","Protein transport protein Sec61 subunit gamma",-0.52,"Up in X3H",2.618,-4.86245981421265,0.000588521841305538,20.21,2,0.00241158180126713,4.67798604881797e-05,0.00037917319795693
"SMPDL3A","Acid sphingomyelinase-like phosphodiesterase 3a",-0.73,"Up in X3H",2.618,-4.86245226126085,0.000588528666728028,16.06,5,0.00241158180126713,0.000914881602895626,0.00359691325204878
"HPD","4-hydroxyphenylpyruvate dioxygenase",-0.37,"Non-significant",2.618,-4.86188028584297,0.000589045791229611,18.52,14,0.00241203041294506,0.00132803939640405,0.00483948350736556
"ALS2","Alsin",1.04,"Up in X5H",2.617,4.85976738531439,0.00059096025163045,14.26,3,0.00241819627171326,0.000830303828148998,0.00331953226429569
"KPNA6","Importin subunit alpha-7;Importin subunit alpha-7;Importin subunit alpha-5",-0.58,"Up in X3H",2.616,-4.85883505759694,0.000591807113681111,17.8,6,0.00241998803845966,0.000934618507871953,0.0036528261697351
"AFDN","Afadin (Fragment)",0.81,"Up in X5H",2.615,4.85634884477928,0.000594071714923063,15.73,1,0.00242684907479298,0.000193707753861593,0.00107419754414156
"SGF29","SAGA-associated factor 29",-1.51,"Up in X3H",2.615,-4.85609300112696,0.000594305274526791,14.59,2,0.00242684907479298,0.000882651072191514,0.00349107379288582
"TJP1","Tight junction protein ZO-1",-0.21,"Non-significant",2.615,-4.85523044282247,0.000595093421519622,17.76,33,0.00242839156905628,0.00253804380856263,0.00815730864490228
"SMPD1","Sphingomyelin phosphodiesterase",-0.97,"Up in X3H",2.614,-4.85363982795908,0.000596549724645159,15.25,4,0.00243265659595135,0.000932940862018333,0.00365093325434026
"MELTF","Melanotransferrin",1.62,"Up in X5H",2.612,4.85018708398523,0.0005997239380462,15.31,4,0.00244391635083978,0.00106056595176297,0.00403560690455401
"C8B","Complement component C8 beta chain",-0.56,"Up in X3H",2.612,-4.84958430887357,0.000600279921320683,17.17,3,0.00244449848207466,0.000344380321886315,0.00167436184437249
"WDR6","WD repeat-containing protein 6",-0.46,"Up in X3H",2.61,-4.84607230587263,0.000603530183232856,16.08,6,0.00245604408128529,0.000853594994760758,0.00339202255473432
"PPP1R12A","Protein phosphatase 1 regulatory subunit 12A",-0.36,"Non-significant",2.609,-4.84470984253311,0.000604796124176537,17.74,12,0.00245950423831792,0.00130273131786645,0.00476701373396152
"HNRNPAB","Heterogeneous nuclear ribonucleoprotein A/B",-0.54,"Up in X3H",2.607,-4.84109838039805,0.000608165376035433,22.1,2,0.002471507232144,6.60674880220099e-05,0.000490971330052454
"GMPR2","GMP reductase 2",-0.35,"Non-significant",2.606,-4.83864581069544,0.000610464800299426,18.9,5,0.00247914908947955,0.000445404180793294,0.00205413603877936
"FUS","RNA-binding protein FUS;RNA-binding protein FUS;TATA-binding protein-associated factor 2N",-0.45,"Up in X3H",2.605,-4.83714383009315,0.000611877541935545,22.42,2,0.00248318204090029,5.46166270523618e-06,9.05738352361533e-05
"KDM1A","Lysine-specific histone demethylase 1A",-0.29,"Non-significant",2.604,-4.83511610323639,0.000613790293287712,18.31,17,0.00248923726208594,0.00163226653348292,0.00570137017628006
"MARS1","Methionine--tRNA ligase, cytoplasmic",-0.14,"Non-significant",2.603,-4.83310224974796,0.000615696232525722,21.39,40,0.0024952565807224,0.00560056348382532,0.0154132716901369
"DHRS4","Dehydrogenase/reductase SDR family member 4",-0.3,"Non-significant",2.602,-4.83100196423459,0.000617690657019872,19.52,11,0.00249883834007625,0.00132178119218702,0.00482478674532425
"GPAT3","Glycerol-3-phosphate acyltransferase 3",-0.5,"Up in X3H",2.602,-4.83091029692765,0.00061777785982293,17.12,12,0.00249883834007625,0.00124394434412581,0.00458478211078066
"USP7","Ubiquitin carboxyl-terminal hydrolase 7",-0.12,"Non-significant",2.602,-4.83083766359419,0.000617846964936887,20.25,43,0.00249883834007625,0.00909744537437124,0.0226746353328368
"RBBP9","Serine hydrolase RBBP9",0.5,"Up in X5H",2.599,4.82603133023459,0.000622438087236095,19.97,7,0.00251568726924588,0.00103256233327561,0.00394914282995204
"PRDX2","Peroxiredoxin-2;Peroxiredoxin-2;Peroxiredoxin-1;Peroxiredoxin-1",-0.45,"Up in X3H",2.594,-4.81792118416118,0.00063026726791825,24.02,2,0.00254559141588552,3.62590502308366e-06,7.12346633193774e-05
"GRB7","Growth factor receptor-bound protein 7",0.3,"Non-significant",2.593,4.81559769803989,0.000632529443982595,17.21,9,0.00255298548434176,0.00114646971885556,0.00429617563424214
"CD46","Membrane cofactor protein",-0.43,"Up in X3H",2.593,-4.81496966936652,0.000633142376950086,19.25,9,0.00255371741268825,0.00116911120936272,0.00436443597842221
"EIF2S3","Eukaryotic translation initiation factor 2 subunit 3;Eukaryotic translation initiation factor 2 subunit 3",-0.23,"Non-significant",2.592,-4.81342620674372,0.000634651415830368,19.52,19,0.00255806023669502,0.00212839573635032,0.00705925872869105
"ART4","Ecto-ADP-ribosyltransferase 4",1.42,"Up in X5H",2.589,4.80905039689355,0.000638950389660468,15.23,1,0.00257363475535806,0.000758973748272226,0.00310785305780399
"MAP1S","Microtubule-associated protein 1S",0.28,"Non-significant",2.589,4.80725351914127,0.000640724643528517,17.89,15,0.00257902565697839,0.0016710757916789,0.0058094920442797
"FIP1L1","Pre-mRNA 3'-end-processing factor FIP1",-0.41,"Up in X3H",2.587,-4.80481830658651,0.000643137531709956,17.81,9,0.00258697809322081,0.00118410073271764,0.00440095730872506
"SSBP2","Single-stranded DNA-binding protein 2",1.36,"Up in X5H",2.585,4.8009198321138,0.000647020333836481,15.1,1,0.00260003388746794,0.000738061130558252,0.00303904503097646
"U2AF1L4","Splicing factor U2AF 26 kDa subunit",-0.94,"Up in X3H",2.585,-4.80067789854495,0.00064726211192163,18.95,3,0.00260003388746794,0.000847377083748744,0.00337184277373323
"ACYP2","Acylphosphatase-2",0.42,"Up in X5H",2.583,4.79677714656524,0.000651173599584922,17.16,4,0.00261397163415467,0.000393259911988352,0.00185343062264775
"POM121C","Nuclear envelope pore membrane protein POM 121C",-0.68,"Up in X3H",2.583,-4.79615151064199,0.000651803284407991,16.1,3,0.0026147254466726,0.00058695312131422,0.00252675440011826
"VASP","Vasodilator-stimulated phosphoprotein",-0.24,"Non-significant",2.581,-4.79278555167184,0.000655202116960764,18.26,7,0.00262657921819569,0.000669465328543656,0.00281537053944052
"PLPBP","Pyridoxal phosphate homeostasis protein",0.3,"Non-significant",2.58,4.79169170224938,0.000656310687975282,19.47,6,0.00262924193686509,0.00058676147891665,0.00252675440011826
"EXOSC3","Exosome complex component RRP40",-0.58,"Up in X3H",2.58,-4.79075056234571,0.000657266084629537,17.44,7,0.00263128783677468,0.00112192290987907,0.00422291212325348
"CDKN2A","Cyclin-dependent kinase inhibitor 2A",0.49,"Up in X5H",2.579,4.78963736611245,0.000658398046451106,16.63,4,0.00263403735013603,0.000564032960204417,0.00245215505182185
"NUP155","Nuclear pore complex protein Nup155",-0.15,"Non-significant",2.578,-4.78718042923973,0.000660903716853725,18.71,31,0.00264227519771858,0.00527220735423032,0.0146596103923782
"TIMM17B","Mitochondrial import inner membrane translocase subunit Tim17-B",-0.46,"Up in X3H",2.577,-4.78569769968538,0.000662420742656332,18.4,4,0.00264655201505572,0.000485561411470811,0.00219851272731063
"KPNA3","Importin subunit alpha-4;Importin subunit alpha-4;Importin subunit alpha-3",-0.35,"Non-significant",2.576,-4.78266628442211,0.00066553376820272,18.73,5,0.00265719521353272,0.000494701819152638,0.00222996930251318
"COQ8A","Atypical kinase COQ8A, mitochondrial",0.2,"Non-significant",2.575,4.78181677353739,0.000666408926481393,19.43,11,0.00265889522453837,0.00164398278525156,0.00572539502079662
"FIS1","Mitochondrial fission 1 protein",-0.43,"Up in X3H",2.574,-4.77965630214689,0.000668640121219882,19.42,4,0.00266505394228674,0.00042209871364893,0.00196470841471497
"TXN","Thioredoxin",-0.22,"Non-significant",2.574,-4.77945025947342,0.000668853321665677,22.95,9,0.00266505394228674,0.00117152156512615,0.00437067660835527
"CNTN1","Contactin-1",1,"Up in X5H",2.573,4.77645869484922,0.000671956936962611,15.42,3,0.00267561857066472,0.000925256825587269,0.00362806138966194
"ALDH9A1","4-trimethylaminobutyraldehyde dehydrogenase",0.17,"Non-significant",2.571,4.77394377827438,0.000674577853393039,19.9,15,0.00268244432696681,0.00271539060921907,0.0086288755288664
"WIPF2","WAS/WASL-interacting protein family member 2",-0.46,"Up in X3H",2.571,-4.77432687695145,0.000674177909621334,17.08,7,0.00268244432696681,0.00108584742342682,0.00411329014367254
"RPL36","60S ribosomal protein L36",-0.67,"Up in X3H",2.571,-4.77324809270304,0.00067530477137513,20.38,1,0.00268353145213341,6.63332065498203e-05,0.000491231017716254
"PAK2","Serine/threonine-protein kinase PAK 2",-0.22,"Non-significant",2.57,-4.77135695409819,0.000677285007906789,19.68,18,0.00268959422267414,0.00230595475632246,0.00754524940431593
"SRSF11","Serine/arginine-rich splicing factor 11",-0.26,"Non-significant",2.569,-4.7688956505721,0.000679871487557941,20.25,8,0.00269805472292444,0.00101945286499957,0.00391350988617705
"REEP3","Receptor expression-enhancing protein 3",0.85,"Up in X5H",2.566,4.76451644081598,0.000684499313208356,16.1,2,0.00271459948810579,0.000578339271201138,0.00250331636261678
"TRIP4","Activating signal cointegrator 1",-0.71,"Up in X3H",2.564,-4.76129157748201,0.000687928582110296,16.32,3,0.00272637201630718,0.000675227556479133,0.0028339618175695
"ARMCX3","Armadillo repeat-containing X-linked protein 3",-0.3,"Non-significant",2.564,-4.75872592321674,0.000690669852924153,17.6,10,0.00273174700518196,0.00136370411537732,0.00494559721366297
"PYM1","Partner of Y14 and mago",-0.29,"Non-significant",2.564,-4.75878748844224,0.00069060393833253,19.18,9,0.00273174700518196,0.00123866465960649,0.0045721639369255
"TOR4A","Torsin-4A",-1.16,"Up in X3H",2.564,-4.75930333413244,0.000690051911641143,15.08,2,0.00273174700518196,0.000862014546880455,0.0034231812576454
"HEXIM1","Protein HEXIM1;Protein HEXIM1;Protein HEXIM2",-0.56,"Up in X3H",2.563,-4.75811731355238,0.000691321817294477,18.82,1,0.0027324991268747,2.53173192420442e-06,5.65292747000662e-05
"EARS2","Probable glutamate--tRNA ligase, mitochondrial",0.18,"Non-significant",2.561,4.75419698130062,0.000695537067203412,19.01,12,0.0027473249844076,0.00207669055257035,0.00691106567879038
"RABGAP1","Rab GTPase-activating protein 1",0.33,"Non-significant",2.561,4.75316309240582,0.000696653262549141,17.11,16,0.00274826407442508,0.00167012401346139,0.0058094920442797
"RBM22","Pre-mRNA-splicing factor RBM22",-0.43,"Up in X3H",2.561,-4.75311636571193,0.000696703753868112,17.98,6,0.00274826407442508,0.000951791926746481,0.00369780225250094
"TM9SF1","Transmembrane 9 superfamily member 1",-0.5,"Up in X3H",2.558,-4.7478233593244,0.000702448357358818,18.25,5,0.00276907856794945,0.000863006630568861,0.00342482242325684
"GID8","Glucose-induced degradation protein 8 homolog",-0.5,"Up in X3H",2.557,-4.7468233755854,0.000703539280741718,16.84,6,0.00277153257266894,0.00103697581808056,0.00395857155844045
"COG7","Conserved oligomeric Golgi complex subunit 7",0.23,"Non-significant",2.557,4.74532574239161,0.000705176466742607,17.96,15,0.00277428800114096,0.0020862928606543,0.00693906400027628
"LONP2","Lon protease homolog 2, peroxisomal",-0.45,"Up in X3H",2.557,-4.74551986046242,0.000704964032967045,16.68,7,0.00277428800114096,0.00112600883233644,0.0042297518903261
"PTER","Phosphotriesterase-related protein",1.01,"Up in X5H",2.553,4.73892378189933,0.000712220587718758,15.26,3,0.00280013901497136,0.000985149323946856,0.00380739944467247
"THOC2","THO complex subunit 2",-0.2,"Non-significant",2.55,-4.73447324904685,0.000717161410447112,18.42,21,0.00281769194263981,0.00281409231818424,0.0088852637388987
"BCAT1","Branched-chain-amino-acid aminotransferase, cytosolic",-0.56,"Up in X3H",2.541,-4.7202582480502,0.00073318689728353,17.24,2,0.0028787437765273,0.000135749092127564,0.000828924022826418
"COL6A1","Collagen alpha-1(VI) chain",0.28,"Non-significant",2.541,4.71960022095525,0.000733937852727194,19.29,11,0.0028797813491955,0.00156479426231351,0.0055276941194681
"ECHS1","Enoyl-CoA hydratase, mitochondrial",0.19,"Non-significant",2.54,4.71773983417902,0.000736065375941857,22.13,17,0.00288621526139693,0.00269255343170696,0.0085725026877581
"ABCB10","ATP-binding cassette sub-family B member 10, mitochondrial",0.28,"Non-significant",2.539,4.71704354384691,0.0007368633257269,17.51,15,0.00288743066114309,0.0018710450926334,0.00637728906285244
"TMEM214","Transmembrane protein 214",-0.15,"Non-significant",2.537,-4.71344472779302,0.000741002194435338,19.73,21,0.00290172732261674,0.00445698892768029,0.0128206142367935
"LNPK","Endoplasmic reticulum junction formation protein lunapark",0.23,"Non-significant",2.535,4.71002903434144,0.000744953222707888,19.49,8,0.00291526998595408,0.0010437282356045,0.00398177947780261
"UBQLN4","Ubiquilin-4;Ubiquilin-4;Ubiquilin-4;Ubiquilin-2;Ubiquilin-2;Ubiquilin-1",-0.58,"Up in X3H",2.533,-4.70622523335527,0.000749379437979272,18.09,1,0.00293065309618199,1.13518793391387e-05,0.000143523653952315
"CHMP2B","Charged multivesicular body protein 2b",0.66,"Up in X5H",2.532,4.70372378324299,0.000752305361445479,17.81,1,0.00294015245949333,6.91795150549556e-05,0.000505352087136015
"SMARCB1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1",-0.27,"Non-significant",2.531,-4.70224063495602,0.000754045893162015,18.67,6,0.00294500960385455,0.000594660030584926,0.00255156156705657
"SVIP","Small VCP/p97-interacting protein",-0.79,"Up in X3H",2.531,-4.70156497234762,0.000754840221568122,16.31,1,0.00294616727639748,0.000248057549367975,0.00131033678880008
"RAVER1","Ribonucleoprotein PTB-binding 1",-1.11,"Up in X3H",2.528,-4.69777100222819,0.00075931699713393,17.31,3,0.00296168666581507,0.00110744588820588,0.00417905441359325
"GOLGA4","Myosin-10;Golgin subfamily A member 4",-0.23,"Non-significant",2.528,-4.69697930890083,0.000760254710302761,17.87,34,0.00296339072520516,0.00274007467563003,0.00867470404264466
"MICOS10","MICOS complex subunit MIC10",-2.06,"Up in X3H",2.527,-4.69490629852133,0.000762715875787791,15.64,2,0.00297102688415823,0.00125373810779718,0.00461054591910249
"COX5A","Cytochrome c oxidase subunit 5A, mitochondrial",0.84,"Up in X5H",2.524,4.68948203970671,0.000769195757036905,22.58,4,0.00299429690420221,0.00112536225276201,0.0042297518903261
"SGPP1","Sphingosine-1-phosphate phosphatase 1",-0.85,"Up in X3H",2.522,-4.68679878709764,0.000772422709452014,16.39,3,0.00300488176977486,0.000943695245173108,0.00368084691212213
"RPL10","60S ribosomal protein L10",-0.49,"Up in X3H",2.52,-4.68299866253837,0.000777017368742043,21.88,2,0.00302076988886115,4.4536619369958e-05,0.0003654967778253
"UBE2A","Ubiquitin-conjugating enzyme E2 A",-0.69,"Up in X3H",2.515,-4.6753373962453,0.000786368589513273,16.55,1,0.00305511683791861,0.000117727917080791,0.000738702105373317
